[U1, U2, U3] 
[ -1.09046639e-04  -5.74344873e+03  -1.70449390e+01]
[  1.26604660e-04  -5.85442627e+03   1.71019020e+01]
[ -1.22083875e-04  -5.85442627e+03  -1.71017513e+01]
[  1.50493463e-04  -5.96575098e+03   1.71519966e+01]
[ -1.45780723e-04  -5.96575098e+03  -1.71518440e+01]
[  1.66508456e-04  -6.07737842e+03   1.71951008e+01]
[ -1.61610049e-04  -6.07737842e+03  -1.71949444e+01]
[  1.96075373e-04  -6.18926270e+03   1.72309837e+01]
[ -1.90857536e-04  -6.18926270e+03  -1.72308254e+01]
[  2.15723281e-04  -6.30135596e+03   1.72593346e+01]
[ -2.10033788e-04  -6.30135596e+03  -1.72591743e+01]
[  2.52544298e-04  -6.41360791e+03   1.72799301e+01]
[ -2.46686075e-04  -6.41360791e+03  -1.72797680e+01]
[  2.77593208e-04  -6.52596729e+03   1.72924004e+01]
[ -2.70214572e-04  -6.52596729e+03  -1.72922325e+01]
[  3.49835434e-04  -6.63838184e+03   1.72968044e+01]
[ -3.46780522e-04  -6.63838184e+03  -1.72966309e+01]
[ -1.64314338e-38  -1.43997206e-38   1.58916952e-34]
[ -1.64182966e-38   2.22140279e-39  -1.58668136e-34]
[ -8.37130472e-07  -7.34166622e-01   2.25897953e-01]
[  5.31024227e-07  -7.34166503e-01  -2.25896820e-01]
[ -1.84116880e-06  -2.93658805e+00   4.51772064e-01]
[  1.25980705e-06  -2.93658805e+00  -4.51769501e-01]
[ -2.48963556e-06  -6.60705614e+00   6.77605808e-01]
[  1.99348074e-06  -6.60705566e+00  -6.77601993e-01]
[ -3.27788302e-06  -1.17452555e+01   9.03383017e-01]
[  2.70831333e-06  -1.17452555e+01  -9.03377891e-01]
[ -3.88376839e-06  -1.83507652e+01   1.12908733e+00]
[  3.41143141e-06  -1.83507652e+01  -1.12908089e+00]
[ -4.58406794e-06  -2.64230595e+01   1.35470235e+00]
[  4.04932325e-06  -2.64230595e+01  -1.35469460e+00]
[ -5.16137152e-06  -3.59615021e+01   1.58021152e+00]
[  4.70192390e-06  -3.59615021e+01  -1.58020246e+00]
[ -5.79626840e-06  -4.69653511e+01   1.80559814e+00]
[  5.28329156e-06  -4.69653511e+01  -1.80558777e+00]
[ -6.34337175e-06  -5.94337578e+01   2.03084517e+00]
[  5.89294950e-06  -5.94337578e+01  -2.03083348e+00]
[ -6.92681397e-06  -7.33657532e+01   2.25593591e+00]
[  6.43420253e-06  -7.33657532e+01  -2.25592279e+00]
[ -7.44750832e-06  -8.87602768e+01   2.48085260e+00]
[  7.00801138e-06  -8.87602768e+01  -2.48083830e+00]
[ -7.99164809e-06  -1.05616127e+02   2.70557833e+00]
[  7.51975494e-06  -1.05616127e+02  -2.70556259e+00]
[ -8.49134176e-06  -1.23932014e+02   2.93009496e+00]
[  8.06481785e-06  -1.23932014e+02  -2.93007779e+00]
[ -9.00598752e-06  -1.43706512e+02   3.15438437e+00]
[  8.55516464e-06  -1.43706512e+02  -3.15436602e+00]
[ -9.49014520e-06  -1.64938095e+02   3.37842870e+00]
[  9.07842877e-06  -1.64938095e+02  -3.37840891e+00]
[ -9.98323048e-06  -1.87625107e+02   3.60220885e+00]
[  9.55395444e-06  -1.87625107e+02  -3.60218787e+00]
[ -1.04569917e-05  -2.11765747e+02   3.82570601e+00]
[  1.00618281e-05  -2.11765747e+02  -3.82568359e+00]
[ -1.09350603e-05  -2.37358154e+02   4.04890060e+00]
[  1.05279742e-05  -2.37358154e+02  -4.04887676e+00]
[ -1.14030818e-05  -2.64400269e+02   4.27177334e+00]
[  1.10261635e-05  -2.64400269e+02  -4.27174807e+00]
[ -1.18715961e-05  -2.92889923e+02   4.49430323e+00]
[  1.14874865e-05  -2.92889923e+02  -4.49427700e+00]
[ -1.23379850e-05  -3.22824860e+02   4.71647024e+00]
[  1.19809647e-05  -3.22824860e+02  -4.71644258e+00]
[ -1.28013489e-05  -3.54202606e+02   4.93825293e+00]
[  1.24411426e-05  -3.54202606e+02  -4.93822384e+00]
[ -1.32696387e-05  -3.87020630e+02   5.15962982e+00]
[  1.29341624e-05  -3.87020630e+02  -5.15959883e+00]
[ -1.37315983e-05  -4.21276215e+02   5.38057804e+00]
[  1.33963440e-05  -4.21276215e+02  -5.38054609e+00]
[ -1.42047347e-05  -4.56966492e+02   5.60107565e+00]
[  1.38924415e-05  -4.56966492e+02  -5.60104227e+00]
[ -1.46681614e-05  -4.94088440e+02   5.82109880e+00]
[  1.43590214e-05  -4.94088440e+02  -5.82106447e+00]
[ -1.51486083e-05  -5.32638916e+02   6.04062366e+00]
[  1.48611516e-05  -5.32638916e+02  -6.04058790e+00]
[ -1.56156093e-05  -5.72614624e+02   6.25962543e+00]
[  1.53338551e-05  -5.72614624e+02  -6.25958824e+00]
[ -1.61051248e-05  -6.14012024e+02   6.47807884e+00]
[  1.58441908e-05  -6.14012024e+02  -6.47803974e+00]
[ -1.65771689e-05  -6.56827515e+02   6.69595766e+00]
[  1.63241948e-05  -6.56827515e+02  -6.69591713e+00]
[ -1.70771127e-05  -7.01057251e+02   6.91323471e+00]
[  1.68444240e-05  -7.01057251e+02  -6.91319323e+00]
[ -1.75550467e-05  -7.46697266e+02   7.12988281e+00]
[  1.73323351e-05  -7.46697266e+02  -7.12983942e+00]
[ -1.80658990e-05  -7.93743347e+02   7.34587288e+00]
[  1.78632363e-05  -7.93743347e+02  -7.34582853e+00]
[ -1.85491845e-05  -8.42191101e+02   7.56117630e+00]
[  1.83583325e-05  -8.42191101e+02  -7.56113052e+00]
[ -1.90707415e-05  -8.92036011e+02   7.77576208e+00]
[  1.88999493e-05  -8.92036011e+02  -7.77571487e+00]
[ -1.95592220e-05  -9.43273254e+02   7.98959923e+00]
[  1.94019376e-05  -9.43273254e+02  -7.98955011e+00]
